2020-04-08 19:14:19.660047 ||| 08:00:27:3F:9A:93 ||| 08:00:27:47:BA:B2 ||| IPv4 ||| 64 ||| TCP ||| 10.10.10.3 ||| Yes ||| 10.10.10.2 ||| 56066 ||| 23 ||| 2699720394 ||| 0 ||| 0 ||| 0 ||| 0 ||| 0 ||| 1 ||| 0
2020-04-08 19:14:21.189352 ||| 08:00:27:3F:9A:93 ||| 08:00:27:47:BA:B2 ||| IPv4 ||| 64 ||| TCP ||| 10.10.10.3 ||| Yes ||| 10.10.10.2 ||| 56068 ||| 23 ||| 1820581321 ||| 0 ||| 0 ||| 0 ||| 0 ||| 0 ||| 1 ||| 0
2020-04-08 19:14:22.360802 ||| 08:00:27:3F:9A:93 ||| 08:00:27:47:BA:B2 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.3 ||| Yes ||| 10.10.10.2 ||| 8 ||| 0 ||| 36763 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-08 19:14:23.377090 ||| 08:00:27:3F:9A:93 ||| 08:00:27:47:BA:B2 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.3 ||| Yes ||| 10.10.10.2 ||| 8 ||| 0 ||| 50523 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-08 19:14:24.400796 ||| 08:00:27:3F:9A:93 ||| 08:00:27:47:BA:B2 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.3 ||| Yes ||| 10.10.10.2 ||| 8 ||| 0 ||| 50686 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-08 19:14:26.393606 ||| 08:00:27:3F:9A:93 ||| 08:00:27:47:BA:B2 ||| IPv4 ||| 64 ||| TCP ||| 10.10.10.3 ||| Yes ||| 10.10.10.2 ||| 56070 ||| 23 ||| 2455354737 ||| 0 ||| 0 ||| 0 ||| 0 ||| 0 ||| 1 ||| 0
2020-04-08 20:40:54.876273 ||| 08:00:27:3F:9A:93 ||| 08:00:27:47:BA:B2 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.3 ||| Yes ||| 10.10.10.2 ||| 8 ||| 0 ||| 50119 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-08 20:40:55.903795 ||| 08:00:27:3F:9A:93 ||| 08:00:27:47:BA:B2 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.3 ||| Yes ||| 10.10.10.2 ||| 8 ||| 0 ||| 31581 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-08 20:40:56.927989 ||| 08:00:27:3F:9A:93 ||| 08:00:27:47:BA:B2 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.3 ||| Yes ||| 10.10.10.2 ||| 8 ||| 0 ||| 5888 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-08 20:40:57.984799 ||| 08:00:27:3F:9A:93 ||| 08:00:27:47:BA:B2 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.3 ||| Yes ||| 10.10.10.2 ||| 8 ||| 0 ||| 43813 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-08 20:40:59.012801 ||| 08:00:27:3F:9A:93 ||| 08:00:27:47:BA:B2 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.3 ||| Yes ||| 10.10.10.2 ||| 8 ||| 0 ||| 40889 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-08 20:41:00.024739 ||| 08:00:27:3F:9A:93 ||| 08:00:27:47:BA:B2 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.3 ||| Yes ||| 10.10.10.2 ||| 8 ||| 0 ||| 12169 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-08 20:41:01.048818 ||| 08:00:27:3F:9A:93 ||| 08:00:27:47:BA:B2 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.3 ||| Yes ||| 10.10.10.2 ||| 8 ||| 0 ||| 42540 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
